ID;Income (anual);sex;UBICACION;Fecha nacimiento;Area;Fecha Ingreso
2899;117264;M;LIMA;29786;BANCA EMPRESAS E INSTITUCIONES;1/10/2013
2903;132257;M;LIMA;29853;ENGINEERING;1/12/2013
2910;117446;M;LIMA;29282;ENGINEERING;1/08/2013
2915;148983;M;PROVINCIA;29667;ENGINEERING;1/11/2013
2935;146303;H;PROVINCIA;33548;ENGINEERING;1/01/2014
2938;141139;H;LIMA;29233;ENGINEERING;1/05/2015
2951;104721;M;LIMA;32895;OTROS;13/06/2012
2954;146559;M;LIMA;27692;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2014
2957;122315;H;LIMA;32286;ENGINEERING;1/07/2013
2958;134338;M;LIMA;28552;BANCA EMPRESAS E INSTITUCIONES;1/01/2013
2970;146214;M;LIMA;31400;ENGINEERING;1/03/2014
2971;123445;H;LIMA;31170;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/05/2014
2972;146932;M;LIMA;32167;ENGINEERING;1/05/2014
2973;132010;M;LIMA;30583;ENGINEERING;1/05/2014
2976;102746;H;PROVINCIA;34110;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/2012
2978;141748;M;LIMA;33731;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/03/2014
2985;103965;M;PROVINCIA;31367;CORPORATE & INVESTMENT BANKING;1/07/2014
2998;107513;H;PROVINCIA;28639;OTROS;1/06/2014
3015;131477;H;LIMA;27421;ENGINEERING;1/07/2014
3016;112958;M;LIMA;29408;CORPORATE & INVESTMENT BANKING;1/05/2014
3020;136851;H;LIMA;31217;ENGINEERING;1/10/2012
3042;81823;H;LIMA;28377;TALENTO & CULTURA;1/06/2014
3072;84793;H;LIMA;32620;OTROS;24/02/2014
3081;73949;H;PROVINCIA;33065;OTROS;20/08/2013
3099;145089;M;LIMA;33102;ENGINEERING;1/01/2015
3153;149911;M;PROVINCIA;33433;BANCA EMPRESAS E INSTITUCIONES;1/06/2015
3179;104283;M;LIMA;33996;CORPORATE & INVESTMENT BANKING;1/04/2015
3189;120717;H;LIMA;33740;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/05/2013
3199;91000;M;LIMA;33108;RIESGOS;29/04/2013
3204;106869;H;PROVINCIA;30759;ENGINEERING;29/04/2013
3226;110766;M;PROVINCIA;31588;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/2015
3227;109304;M;LIMA;31390;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/2015
3228;123154;H;LIMA;31668;ENGINEERING;1/06/2015
3229;147789;H;LIMA;31635;ENGINEERING;1/04/2015
3230;135303;H;LIMA;29397;BUSINESS DEVELOPMENT & DIGITAL BANKIN;17/04/2015
3249;118837;H;PROVINCIA;32251;ENGINEERING;1/06/2015
3250;61174;M;PROVINCIA;29877;OTROS;1/03/2015
3259;137374;M;PROVINCIA;30386;ENGINEERING;13/08/2015
3265;104040;M;LIMA;33430;ENGINEERING;1/05/2015
3294;120349;M;PROVINCIA;32630;CORPORATE & INVESTMENT BANKING;1/07/2015
3295;105609;M;PROVINCIA;29110;OTROS;1/07/2015
3296;135395;M;PROVINCIA;30017;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2015
3297;143479;M;LIMA;30036;CORPORATE & INVESTMENT BANKING;8/02/2016
3318;139553;M;LIMA;31207;CORPORATE & INVESTMENT BANKING;15/09/2013
3319;121713;M;LIMA;29988;BANCA EMPRESAS E INSTITUCIONES;16/09/2013
3347;129163;M;PROVINCIA;31082;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/2014
3368;130779;H;LIMA;31314;BANCA EMPRESAS E INSTITUCIONES;1/01/2015
3369;124369;H;LIMA;33904;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2015
3372;105255;M;LIMA;32575;ENGINEERING;1/09/2015
3373;102515;M;LIMA;34229;RIESGOS;1/01/2016
3374;71001;H;PROVINCIA;33862;OTROS;15/01/2014
3425;109834;H;LIMA;33597;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/05/2015
3435;96211;M;PROVINCIA;31630;RIESGOS;1/04/2016
3437;111655;H;PROVINCIA;34684;ENGINEERING;1/12/2015
3439;145172;H;PROVINCIA;33139;ENGINEERING;1/04/2016
3463;148710;M;LIMA;34204;ENGINEERING;1/06/2017
3464;133349;H;LIMA;33969;CORPORATE & INVESTMENT BANKING;1/05/2015
3465;85241;M;LIMA;32161;RIESGOS;6/04/2017
3494;148226;M;LIMA;32560;ENGINEERING;1/04/2016
3497;99439;H;LIMA;27480;RIESGOS;1/04/2016
3530;112236;M;LIMA;29666;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/04/2016
3531;127211;H;LIMA;33460;CORPORATE & INVESTMENT BANKING;1/04/2016
3532;84189;H;LIMA;32941;RIESGOS;1/04/2016
3537;74291;M;PROVINCIA;34830;RIESGOS;15/07/2014
3599;120487;M;PROVINCIA;33552;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/2016
3600;100027;H;LIMA;33056;RIESGOS;1/08/2016
3601;133169;H;LIMA;31130;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/2016
3602;125753;H;LIMA;34460;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/2016
3605;104889;H;LIMA;30026;RIESGOS;1/10/2014
3606;145557;H;LIMA;32441;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/2014
3607;121849;H;LIMA;33659;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/2014
3608;83435;M;LIMA;30393;RIESGOS;1/10/2014
3642;135966;M;LIMA;30887;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/2016
3657;145459;H;LIMA;29996;BANCA EMPRESAS E INSTITUCIONES;1/11/2014
3684;145694;M;PROVINCIA;31778;ENGINEERING;15/08/2016
3685;113610;H;LIMA;29605;ENGINEERING;1/01/2016
3689;103099;H;LIMA;34113;BANCA EMPRESAS E INSTITUCIONES;15/07/2015
3716;145224;M;LIMA;34543;ENGINEERING;15/02/2015
3717;105178;M;LIMA;32462;ENGINEERING;15/02/2015
3718;91584;H;PROVINCIA;33124;TALENTO & CULTURA;15/02/2015
3739;101756;M;LIMA;30370;TALENTO & CULTURA;1/03/2017
3750;136088;H;LIMA;32432;ENGINEERING;15/03/2015
3752;87886;H;LIMA;32339;RIESGOS;1/03/2017
3754;76032;M;LIMA;34569;RIESGOS;1/01/2017
3755;87362;M;LIMA;32195;RIESGOS;1/01/2017
3756;130724;H;LIMA;34289;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/03/2017
3781;114505;M;LIMA;35305;ENGINEERING;1/01/2017
3833;108990;M;PROVINCIA;34724;ENGINEERING;1/06/2015
3835;109156;H;PROVINCIA;34331;ENGINEERING;1/06/2017
3836;119586;M;PROVINCIA;33317;ENGINEERING;1/05/2017
3839;143654;M;PROVINCIA;31943;BANCA EMPRESAS E INSTITUCIONES;1/01/2018
3840;120503;H;LIMA;29360;BANCA EMPRESAS E INSTITUCIONES;1/06/2017
3841;118055;H;LIMA;33154;ENGINEERING;1/06/2017
3842;145286;M;LIMA;31879;ENGINEERING;15/06/2015
3872;139635;H;LIMA;31245;CORPORATE & INVESTMENT BANKING;1/06/2017
3873;87464;H;LIMA;29781;RIESGOS;1/05/2017
3874;141001;H;LIMA;33538;CORPORATE & INVESTMENT BANKING;1/05/2017
3876;149260;M;LIMA;32431;BANCA EMPRESAS E INSTITUCIONES;1/06/2017
3917;86965;H;LIMA;32404;RIESGOS;1/05/2016
3918;101765;H;LIMA;31904;RIESGOS;1/02/2017
3919;114567;M;LIMA;32442;ENGINEERING;1/02/2017
3920;116337;H;LIMA;33201;BANCA EMPRESAS E INSTITUCIONES;1/09/2015
3921;77821;H;LIMA;32657;RIESGOS;1/09/2015
3923;84630;H;LIMA;30050;RIESGOS;1/09/2015
3954;86761;M;LIMA;31412;OTROS;14/09/2016
3955;83424;H;LIMA;31600;OTROS;14/09/2016
3956;148165;M;LIMA;32875;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/02/2017
3957;79912;H;LIMA;30627;RIESGOS;1/09/2017
3960;93938;H;LIMA;31897;RIESGOS;1/09/2017
3961;106317;H;LIMA;29126;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/2017
3984;100872;M;LIMA;30033;RIESGOS;1/09/2017
