ID;Income_110805;sex;UBICACION;Edad;Area;Fecha Ingreso
3464;1;H;LIMA;28;CORPORATE & INVESTMENT BANKING;1/05/15
3465;0;M;LIMA;33;RIESGOS;6/04/17
3494;1;M;LIMA;32;ENGINEERING;1/04/16
3497;0;H;LIMA;46;RIESGOS;1/04/16
3530;1;M;LIMA;40;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/04/16
3531;1;H;LIMA;29;CORPORATE & INVESTMENT BANKING;1/04/16
3532;0;H;LIMA;31;RIESGOS;1/04/16
3537;0;M;PROVINCIA;25;RIESGOS;15/07/14
3599;1;M;PROVINCIA;29;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/16
3600;0;H;LIMA;30;RIESGOS;1/08/16
3601;1;H;LIMA;36;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/16
3602;1;H;LIMA;26;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/16
3605;0;H;LIMA;39;RIESGOS;1/10/14
3606;1;H;LIMA;32;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/14
3607;1;H;LIMA;29;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/14
3608;0;M;LIMA;38;RIESGOS;1/10/14
3642;1;M;LIMA;36;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/16
3657;1;H;LIMA;39;BANCA EMPRESAS E INSTITUCIONES;1/11/14
3684;1;M;PROVINCIA;34;ENGINEERING;15/08/16
3685;1;H;LIMA;40;ENGINEERING;1/01/16
3689;0;H;LIMA;27;BANCA EMPRESAS E INSTITUCIONES;15/07/15
3716;1;M;LIMA;26;ENGINEERING;15/02/15
3717;0;M;LIMA;32;ENGINEERING;15/02/15
3718;0;H;PROVINCIA;30;TALENTO & CULTURA;15/02/15
3739;0;M;LIMA;38;TALENTO & CULTURA;1/03/17
3750;1;H;LIMA;32;ENGINEERING;15/03/15
3752;0;H;LIMA;32;RIESGOS;1/03/17
3754;0;M;LIMA;26;RIESGOS;1/01/17
3755;0;M;LIMA;33;RIESGOS;1/01/17
3756;1;H;LIMA;27;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/03/17
3781;1;M;LIMA;24;ENGINEERING;1/01/17
3833;0;M;PROVINCIA;26;ENGINEERING;1/06/15
3835;0;H;PROVINCIA;27;ENGINEERING;1/06/17
3836;1;M;PROVINCIA;30;ENGINEERING;1/05/17
3839;1;M;PROVINCIA;33;BANCA EMPRESAS E INSTITUCIONES;1/01/18
3840;1;H;LIMA;40;BANCA EMPRESAS E INSTITUCIONES;1/06/17
3841;1;H;LIMA;30;ENGINEERING;1/06/17
3842;1;M;LIMA;33;ENGINEERING;15/06/15
3872;1;H;LIMA;35;CORPORATE & INVESTMENT BANKING;1/06/17
3873;0;H;LIMA;39;RIESGOS;1/05/17
3874;1;H;LIMA;29;CORPORATE & INVESTMENT BANKING;1/05/17
3876;1;M;LIMA;32;BANCA EMPRESAS E INSTITUCIONES;1/06/17
3917;0;H;LIMA;32;RIESGOS;1/05/16
3918;0;H;LIMA;33;RIESGOS;1/02/17
3919;1;M;LIMA;32;ENGINEERING;1/02/17
3920;1;H;LIMA;30;BANCA EMPRESAS E INSTITUCIONES;1/09/15
3921;0;H;LIMA;31;RIESGOS;1/09/15
3923;0;H;LIMA;38;RIESGOS;1/09/15
3954;0;M;LIMA;35;OTROS;14/09/16
3955;0;H;LIMA;34;OTROS;14/09/16
3956;1;M;LIMA;31;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/02/17
3957;0;H;LIMA;37;RIESGOS;1/09/17
3960;0;H;LIMA;33;RIESGOS;1/09/17
3961;0;H;LIMA;41;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/17
3984;0;M;LIMA;39;RIESGOS;1/09/17
3985;1;M;LIMA;33;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/17
3986;1;M;LIMA;33;BANCA EMPRESAS E INSTITUCIONES;1/11/17
3989;0;M;PROVINCIA;33;RIESGOS;1/09/17
3990;1;M;PROVINCIA;39;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/17
3991;0;M;PROVINCIA;44;RIESGOS;1/09/17
3992;0;H;PROVINCIA;35;RIESGOS;1/09/17
3994;0;H;PROVINCIA;40;OTROS;1/09/17
3998;0;H;LIMA;32;RIESGOS;1/06/17
4036;1;M;LIMA;32;BUSINESS DEVELOPMENT & DIGITAL BANKIN;16/11/15
4037;0;H;LIMA;33;RIESGOS;15/11/15
4038;0;H;LIMA;26;RIESGOS;1/05/18
4051;0;H;LIMA;32;TALENTO & CULTURA;1/11/17
4079;0;H;LIMA;28;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/17
4080;0;M;LIMA;29;OTROS;1/01/18
4106;0;M;LIMA;31;OTROS;1/02/16
4107;1;M;LIMA;33;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/01/18
4114;1;H;LIMA;31;ENGINEERING;15/02/16
4115;0;H;LIMA;31;OTROS;15/02/16
4118;1;M;LIMA;29;ENGINEERING;15/05/17
4119;1;H;LIMA;35;ENGINEERING;1/10/16
4120;1;H;LIMA;41;ENGINEERING;15/02/16
4141;0;M;LIMA;33;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/02/18
4142;1;H;LIMA;29;CORPORATE & INVESTMENT BANKING;1/02/18
4143;0;H;LIMA;26;OTROS;1/02/18
4148;1;M;LIMA;26;BUSINESS DEVELOPMENT & DIGITAL BANKIN;15/08/17
4197;0;H;PROVINCIA;29;ENGINEERING;1/05/16
4198;1;M;LIMA;27;ENGINEERING;15/12/17
4199;1;M;LIMA;27;ENGINEERING;2/05/16
4200;1;H;LIMA;27;ENGINEERING;1/05/16
4201;0;H;LIMA;39;ENGINEERING;1/05/16
4202;1;M;LIMA;34;ENGINEERING;1/05/16
4203;1;H;LIMA;35;ENGINEERING;1/05/16
4204;1;M;LIMA;30;ENGINEERING;1/05/16
4205;1;M;LIMA;29;ENGINEERING;1/05/16
4206;1;M;LIMA;30;ENGINEERING;1/05/16
4208;1;M;LIMA;32;ENGINEERING;1/05/16
4209;0;H;LIMA;33;OTROS;1/03/18
4210;0;H;LIMA;30;OTROS;1/03/18
4211;1;M;LIMA;34;ENGINEERING;1/05/18
4227;0;H;LIMA;31;OTROS;12/07/17
4248;0;M;LIMA;28;RIESGOS;1/06/16
4294;1;M;LIMA;28;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/16
4394;1;H;LIMA;26;BANCA EMPRESAS E INSTITUCIONES;1/06/18
4395;0;H;LIMA;40;RIESGOS;1/06/18
4422;1;H;LIMA;34;BANCA EMPRESAS E INSTITUCIONES;20/09/16
